recall,ndcg,n_patience,batch_size,lr,reg_weight,gcl_reg,gcl_eps,gcl_temp,embedding_dim,n_layers,geo_threshold,geo_k_neighbors,geo_weight,time_decay,time_min_weight,layer_weighting,layer_decay,name
0.26600545438980544,0.11911525706957729,20,1024,0.001,0.0001,0.1,0.1,0.3,64,8,0.0,0,1.0,0.0,0.0,uniform,0.0,n_layers_8
0.266188897993127,0.11911857520971979,20,1024,0.001,0.0001,0.1,0.1,0.3,512,3,0.0,0,1.0,0.0,0.0,uniform,0.0,emb_512
0.26496594063764994,0.11913890933213211,20,1024,0.001,0.0001,0.1,0.1,0.3,1024,4,0.0,0,1.0,0.0,0.0,uniform,0.0,emb_1024_n_layers_4
0.2727439494184838,0.11958980515583248,20,1024,0.001,0.01,0.1,0.1,0.3,1024,3,0.0,0,1.0,0.0,0.0,uniform,0.0,emb_1024_reg_0.01
0.26689821325930363,0.11962794389219004,20,1024,0.001,0.0001,0.1,0.1,0.3,256,4,0.0,0,1.0,0.0,0.0,uniform,0.0,emb_256_n_layers_4
0.26770536511391846,0.11988457876967835,20,1024,0.001,0.0001,0.1,0.1,0.3,512,4,0.0,0,1.0,0.0,0.0,uniform,0.0,emb_512_n_layers_4
0.28288226589538823,0.1254216412513712,20,1024,0.001,0.001,0.1,0.1,0.3,256,3,0.0,0,1.0,0.0,0.0,uniform,0.0,emb_256_reg_0.001
0.2829801024838264,0.12549465298468956,20,1024,0.001,0.001,0.1,0.1,0.3,1024,3,0.0,0,1.0,0.0,0.0,uniform,0.0,emb_1024_reg_0.001
0.2842886668541868,0.12613026121277449,20,1024,0.001,0.001,0.1,0.1,0.3,512,3,0.0,0,1.0,0.0,0.0,uniform,0.0,emb_512_reg_0.001
0.2832980713962504,0.1264269179603536,20,1024,0.001,0.0001,0.1,0.1,0.3,64,3,0.0,5,1.0,0.0,0.0,uniform,0.0,geo_distance_neighbors_5_weight_1.0
0.2853159510327875,0.12653391904219338,20,1024,0.001,0.001,0.1,0.1,0.3,512,7,20.0,0,1.0,0.0,0.0,gentle,0.1,emb_512_n_layers_7_reg_0.001_gentle_0.1_gcl_geo_distance_20.0_8.0
0.2849735229732539,0.1266576249160481,20,1024,0.001,0.001,0.1,0.1,0.3,512,8,20.0,0,1.0,0.0,0.0,gentle,0.1,emb_512_n_layers_8_reg_0.001_gentle_0.1_gcl_geo_distance_20.0_8.0
0.28593965928408077,0.12685405925073318,20,1024,0.001,0.0001,0.1,0.1,0.3,64,3,20.0,0,1.0,0.0,0.0,uniform,0.0,gcl
0.28540155804767087,0.12689267756368613,20,1024,0.001,0.001,0.1,0.1,0.3,512,4,0.0,0,1.0,0.0,0.0,uniform,0.0,emb_512_n_layers_4_reg_0.001
0.2872849123751055,0.1269074965537495,20,1024,0.001,0.001,0.1,0.1,0.3,512,6,20.0,0,1.0,0.0,0.0,gentle,0.1,emb_512_n_layers_6_reg_0.001_gentle_0.1_gcl_geo_distance_20.0_8.0
0.2899020411158263,0.12711751939133326,20,1024,0.001,0.0001,0.1,0.1,0.3,64,3,0.0,20,1.0,0.0,0.0,uniform,0.0,geo_distance_neighbors_20_weight_1.0
0.2874561264048723,0.1276325458781927,20,1024,0.001,0.001,0.1,0.1,0.3,512,5,0.0,0,1.0,0.0,0.0,uniform,0.0,emb_512_n_layers_5_reg_0.001
0.28889921608433516,0.12826513621565352,20,1024,0.001,0.001,0.1,0.1,0.3,512,5,0.0,0,1.0,0.0,0.0,gentle,0.05,emb_512_n_layers_5_reg_0.001_gentle_0.05
0.29074588169110543,0.128412849462245,20,1024,0.001,0.0001,0.1,0.1,0.3,64,3,0.0,15,1.0,0.0,0.0,uniform,0.0,geo_distance_neighbors_15_weight_1.0
0.2888869865107804,0.12861976063052405,20,1024,0.001,0.001,0.1,0.1,0.3,512,7,0.0,0,1.0,0.0,0.0,uniform,0.0,emb_512_n_layers_7_reg_0.001
0.2870403209040101,0.128698716511821,20,1024,0.001,0.001,0.1,0.1,0.3,512,8,0.0,0,1.0,0.0,0.0,uniform,0.0,emb_512_n_layers_8_reg_0.001
0.28859347674546587,0.12875160205156938,20,1024,0.001,0.001,0.1,0.1,0.3,512,6,0.0,0,1.0,0.0,0.0,gentle,0.05,emb_512_n_layers_6_reg_0.001_gentle_0.05
0.28738274896354365,0.12875455633588942,20,1024,0.001,0.001,0.1,0.1,0.3,512,6,0.0,0,1.0,0.0,0.0,uniform,0.0,emb_512_n_layers_6_reg_0.001
0.2906480451026673,0.1288584512439741,20,1024,0.001,0.0001,0.1,0.1,0.3,64,3,0.0,10,1.0,0.0,0.0,uniform,0.0,geo_distance_neighbors_10_weight_1.0
0.2899509594100454,0.12930689738707637,20,1024,0.001,0.001,0.1,0.1,0.3,512,5,0.0,0,1.0,0.0,0.0,gentle,0.1,emb_512_n_layers_5_reg_0.001_gentle_0.1
0.29069696339688633,0.1296524855460207,20,1024,0.001,0.001,0.1,0.1,0.3,512,6,0.0,0,1.0,0.0,0.0,gentle,0.1,emb_512_n_layers_6_reg_0.001_gentle_0.1
0.29069696339688633,0.12981913835224268,20,1024,0.001,0.001,0.1,0.1,0.3,512,7,0.0,0,1.0,0.0,0.0,gentle,0.05,emb_512_n_layers_7_reg_0.001_gentle_0.05
0.29036676491090757,0.1300009791769004,20,1024,0.001,0.001,0.1,0.1,0.3,512,8,0.0,0,1.0,0.0,0.0,gentle,0.05,emb_512_n_layers_8_reg_0.001_gentle_0.05
0.2913940490895082,0.1303954429552966,20,1024,0.001,0.001,0.1,0.1,0.3,512,8,0.0,0,1.0,0.0,0.0,gentle,0.1,emb_512_n_layers_8_reg_0.001_gentle_0.1
0.2924335628416637,0.13069193776658702,20,1024,0.001,0.001,0.1,0.1,0.3,512,7,0.0,0,1.0,0.0,0.0,gentle,0.1,emb_512_n_layers_7_reg_0.001_gentle_0.1
